scientific_name,dive_site,mean_prob_across_seasons,l95_mean,u95_mean,site_rank
Stegostoma tigrinum,Koh Bon,1.859176953512475e-5,NA,NA,3
Stegostoma tigrinum,North Twin,8.718513883803317e-7,NA,NA,4
Stegostoma tigrinum,Similan Islands,5.331134718768056e-7,NA,NA,5
Stegostoma tigrinum,Mergui Archipelago,7.274948937555748e-8,NA,NA,6
Stegostoma tigrinum,Richelieu Rock,6.309518487152626e-12,NA,NA,7
Stegostoma tigrinum,Surin Islands,1.6250090340873462e-12,NA,NA,8
Stegostoma tigrinum,8 Mile Rock,1.9619651392788354e-13,NA,NA,9
Stegostoma tigrinum,Western Rocky,1.0516336214809743e-13,NA,NA,10
Stegostoma tigrinum,Shark Fin Reef,6.787714458668961e-14,NA,NA,11
Stegostoma tigrinum,Burma Banks,3.541105746179793e-14,NA,NA,12
Stegostoma tigrinum,Koh Bida Nok,3.018858050521156e-16,NA,NA,13
Stegostoma tigrinum,Koh Chi,1.3272370716054528e-16,NA,NA,14
Stegostoma tigrinum,Black Rock,3.456191477226062e-18,NA,NA,15
Stegostoma tigrinum,Three Trees,4.166762371242179e-21,NA,NA,16
Stegostoma tigrinum,Seafan Forest,3.5735088472173788e-25,NA,NA,17
Stegostoma tigrinum,Shark Cave,1.0845205805781825e-25,NA,NA,18
Stegostoma tigrinum,Koh Tachai,1.6525923603757708e-27,NA,NA,19
Taeniurops meyeni,Western Rocky,0.7283028831188654,0.17206677916011662,0.972379518093666,1
Taeniurops meyeni,Shark Cave,0.5484387610677673,0.2423888910786039,0.8223481198984379,2
Taeniurops meyeni,Mergui Archipelago,0.46124139707035333,0.22460493716870225,0.7170060735635034,3
Taeniurops meyeni,Burma Banks,0.24709595404910778,0.07457715619635703,0.5735230576851217,4
Taeniurops meyeni,Koh Bon,0.23870868676010237,0.07557272138129412,0.5484387408058526,5
Taeniurops meyeni,Similan Islands,0.133673430909109,0.02771205546691776,0.45737280691487736,6
Taeniurops meyeni,Black Rock,0.12658431788063942,0.026492295120600612,0.43569077832116093,7
Taeniurops meyeni,Seafan Forest,0.10807236175763964,0.010427521879468278,0.5772996697746411,8
Taeniurops meyeni,8 Mile Rock,0.10369106394189467,0.009692446109063071,0.5747852190269958,9
Taeniurops meyeni,Shark Fin Reef,0.09551915084083465,0.0076373668417883,0.588372050750427,10
Taeniurops meyeni,North Twin,0.09384343075209634,0.007322846394773407,0.5870355180878436,11
Taeniurops meyeni,Surin Islands,0.0707081551127568,0.01221083587632523,0.3221173749419413,12
Taeniurops meyeni,Koh Tachai,0.049220362291556186,0.005048144413488501,0.34457553501399996,13
Taeniurops meyeni,Richelieu Rock,0.030474261308011223,0.0031782470942142973,0.23742277276352772,14
Taeniurops meyeni,Koh Chi,3.858298559533646e-10,0,1,15
Taeniurops meyeni,Shark Point,2.3242751922728058e-10,0,1,16
Taeniurops meyeni,Elephant Head Rock,1.655005959910916e-10,0,1,17
Taeniurops meyeni,Koh Bida Nok,1.5972756155675238e-10,0,1,18
Taeniurops meyeni,Three Trees,1.0472946193302948e-10,0,1,19
Triaenodon obesus,Shark Fin Reef,0.751770401386039,NA,NA,1
Triaenodon obesus,Elephant Head Rock,0.7509568685976205,NA,NA,2
Triaenodon obesus,Mergui Archipelago,3.890226026473138e-6,NA,NA,3
Triaenodon obesus,Surin Islands,2.3120470860103617e-6,NA,NA,4
Triaenodon obesus,Similan Islands,1.6161438382478927e-6,NA,NA,5
Triaenodon obesus,Koh Tachai,1.1337530438434065e-6,NA,NA,6
Triaenodon obesus,Shark Cave,9.329842829085197e-7,NA,NA,7
Triaenodon obesus,Richelieu Rock,7.020871737346056e-7,NA,NA,8
Triaenodon obesus,Koh Bon,1.8635233907092023e-12,NA,NA,9
Triaenodon obesus,8 Mile Rock,2.275321480846386e-16,NA,NA,10
Triaenodon obesus,Burma Banks,8.781182321577229e-20,NA,NA,11
Triaenodon obesus,Seafan Forest,6.892292110968727e-21,NA,NA,12
Triaenodon obesus,Koh Chi,5.994767516263239e-22,NA,NA,13
Triaenodon obesus,Shark Point,3.7947733898734456e-22,NA,NA,14
Triaenodon obesus,North Twin,2.7742563643067387e-22,NA,NA,15
Triaenodon obesus,Western Rocky,1.1856063108888607e-22,NA,NA,16
Triaenodon obesus,Three Trees,3.942307649061035e-23,NA,NA,17
Triaenodon obesus,Koh Bida Nok,8.810160645280303e-24,NA,NA,18
Triaenodon obesus,Black Rock,8.073737055086786e-57,NA,NA,19
