species,genus,species_epithet,scientific_name,group,country,region,dive_site,site_type,sighting_date,year,month,n,ym
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Shark Cave,site,2015-12-19,2015,12,1,2015-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2015-12-19,2015,12,1,2015-12-01
zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark,Myanmar,Mergui,Mergui Archipelago,NA,2015-12-19,2015,12,2,2015-12-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Black Rock,site,2025-03-08,2025,3,3,2025-03-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Eagle Rock,site,2025-03-10,2025,3,1,2025-03-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Square Rock,site,2025-03-09,2025,3,1,2025-03-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Myanmar,Mergui,Black Rock,site,2025-03-12,2025,3,3,2025-03-01
brown banded bamboo shark,Chiloscyllium,punctatum,Chiloscyllium punctatum,shark,Myanmar,Mergui,Submarine,site,2025-03-09,2025,3,1,2025-03-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2014-12-09,2014,12,4,2014-12-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2014-12-09,2014,12,5,2014-12-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,South Twin,site,2019-12-12,2019,12,4,2019-12-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Myanmar,Mergui,Mergui Archipelago,NA,2019-12-12,2019,12,6,2019-12-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2019-12-12,2019,12,1,2019-12-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Black Rock,site,2013-12-30,2013,12,20,2013-12-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Black Rock,site,2017-03-05,2017,3,5,2017-03-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2017-03-05,2017,3,3,2017-03-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2017-03-05,2017,3,5,2017-03-01
