species,group,species_std,genus,species_epithet,scientific_name
bamboo shark,shark,brown banded bamboo shark,Chiloscyllium ,punctatum ,NA
Bull Shark,shark,bull shark,Carcharhinus,leucas,NA
Bull shark,shark,bull shark,Carcharhinus,leucas,NA
bull shark,shark,bull shark,Carcharhinus,leucas,NA
cat shark,shark,coral catshark,Atelomycterus,marmoratus,NA
coral catshark,shark,coral catshark,Atelomycterus,marmoratus,NA
Coral Cat Shark,shark,coral catshark ,Atelomycterus,marmoratus,NA
Cowtail Stingray,ray,cowtail stingray,Pastinachus,sephen,NA
Giant Guitarfish,ray,giant guitarfish,Rhynchobatus ,spp.,NA
giant oceanic manta ray,ray,oceanic manta,Mobula,birostris,NA
Grey Reef Shark,shark,grey reef shark,Carcharhinus,amblyrhynchos,NA
grey reef shark,shark,grey reef shark,Carcharhinus,amblyrhynchos,NA
grey reef sharks,shark,grey reef shark,Carcharhinus,amblyrhynchos,NA
Greyspot Guitarfish,ray,grey-spotted guitarfish,acroteriovatus,spp.,NA
Greyspot guitarfish,ray,grey-spotted guitarfish,acroteriovatus,spp.,NA
Guitarfish,ray,guitarfish,Rhinobatidae,spp.,NA
Guitarshark,ray,guitarfish,Rhinobatidae,spp.,NA
guitar fish Spp.,ray,guitarfish,Rhinobatidae,spp.,NA
guitar shark,ray,guitarfish,Rhinobatidae,spp.,NA
guitarfish,ray,guitarfish,Rhinobatidae,spp.,NA
SGuitarfish,ray,guitarfish ,Rhinobatidae,spp.,NA
Jenkin's Whipray,ray,jenkins' whipray,Pateobatis,jenkinsii,NA
Jenkins Whipray,ray,jenkins' whipray,Pateobatis,jenkinsii,NA
Jenkins Whiprays,ray,jenkins' whipray,Pateobatis,jenkinsii,NA
Jenkins whipray,ray,jenkins' whipray,Pateobatis,jenkinsii,NA
jenkins stingray,ray,jenkins' whipray,Pateobatis,jenkinsii,NA
jenkins whipray,ray,jenkins' whipray,Pateobatis,jenkinsii,NA
Mangrove Whipray,ray,mangrove whipray,Urogymnus,granulatus,NA
mangrove whipray,ray,mangrove whipray,Urogymnus,granulatus,NA
manta,ray,reef manta,Mobula,alfredii,NA
manta ray,ray,reef manta,Mobula,alfredii,NA
Mobula Ray,ray,mobula ray,Mobula,spp.,NA
Mobula Rays,ray,mobula ray,Mobula,spp.,NA
Mobula ray,ray,mobula ray,Mobula,spp.,NA
devil ray,ray,mobula ray,Mobula,spp.,NA
mobula,ray,mobula ray,Mobula,spp.,NA
mobulas ray,ray,mobula ray,Mobula,spp.,NA
Minke Whale,NA,NA,NA,NA,NA
Nurse Shark,shark,nurse shark,Nebrius,ferrugineus,NA
Nurse Sharks,shark,nurse shark,Nebrius,ferrugineus,NA
Nurse shark,shark,nurse shark,Nebrius,ferrugineus,NA
Nurse sharks,shark,nurse shark,Nebrius,ferrugineus,NA
nurse shark,shark,nurse shark,Nebrius,ferrugineus,NA
Oceanic Blacktip Shark,shark,oceanic blacktip shark ,Carcharhinus,limbatus,NA
Oceanic Manta,ray,oceanic manta,Mobula,birostris,NA
Oceanic Manta Rays,ray,oceanic manta,Mobula,birostris,NA
Oceanic Mantas,ray,oceanic manta,Mobula,birostris,NA
Oceanic manta,ray,oceanic manta,Mobula,birostris,NA
Oceanic manta ray,ray,oceanic manta,Mobula,birostris,NA
oceanic manta ray,ray,oceanic manta,Mobula,birostris,NA
Cownose Eagle Ray,ray,ocellated eagle ray ,Aetobatus,ocellatus,NA
Eagle Ray,ray,ocellated eagle ray ,Aetobatus,ocellatus,NA
Eagle Rays,ray,ocellated eagle ray ,Aetobatus,ocellatus,NA
Spotted Eagle Ray,ray,ocellated eagle ray ,Aetobatus,ocellatus,NA
eagle ray,ray,ocellated eagle ray ,Aetobatus,ocellatus,NA
Porcupine Ray,ray,porcupine ray,Urogymnus,asperrimus,NA
porcupine ray (Urogymnus asperrimus),ray,porcupine ray,Urogymnus,asperrimus,NA
Ray,ray,ray,Batidae,spp.,NA
Rays,ray,ray,Batidae,spp.,NA
ray,ray,ray,Batidae,spp.,NA
Requiem Shark,shark,requiem shark ,Carcharhinidae,spp.,NA
requiem shark,shark,requiem shark ,Carcharhinidae,spp.,NA
Reef Sharks,shark,shark,Carcharhinidae,spp.,NA
reef shark,shark,shark,Carcharhinidae,spp.,NA
shark,shark,shark,Selachii,spp.,NA
Silvertip,shark,silvertip shark,Carcharhinus,albimarginatus,NA
Silvertip Reef Shark,shark,silvertip shark,Carcharhinus,albimarginatus,NA
Silvertip Shark,shark,silvertip shark,Carcharhinus,albimarginatus,NA
Silvertip Sharks,shark,silvertip shark,Carcharhinus,albimarginatus,NA
silvertip shark,shark,silvertip shark,Carcharhinus,albimarginatus,NA
Tiger Shark,shark,tiger shark,Galeocerdo,cuvier,NA
tiger shark,shark,tiger shark,Galeocerdo,cuvier,NA
Torpedo Ray,ray,torpedo ray,Torpedo,spp.,NA
Whale Shark,shark,whale shark,Rhinocodon,typus,NA
Whale sharks,shark,whale shark,Rhinocodon,typus,NA
whale shark,shark,whale shark,Rhinocodon,typus,NA
Whitespot Guitarfish,shark,white-spotted wedgefish,Rhynchobatus,australiae,NA
Whitespotted Wedgefish,ray,white-spotted wedgefish,Rhynchobatus,australiae,NA
white spotted wedge fish,ray,white-spotted wedgefish,Rhynchobatus,australiae,NA
white spotted wedgefish,ray,white-spotted wedgefish,Rhynchobatus,australiae,NA
White Tip Reef,shark,whitetip reef shark,Triaenodon,obesus,NA
White Tip Reef Shark,shark,whitetip reef shark,Triaenodon,obesus,NA
White Tip Reef Sharl,shark,whitetip reef shark,Triaenodon,obesus,NA
White tip reef shark,shark,whitetip reef shark,Triaenodon,obesus,NA
White tip reef sharks,shark,whitetip reef shark,Triaenodon,obesus,NA
Whitetip Reef Shark,shark,whitetip reef shark,Triaenodon,obesus,NA
Whitetip Reef Sharks,shark,whitetip reef shark,Triaenodon,obesus,NA
Whitetip reef shark,shark,whitetip reef shark,Triaenodon,obesus,NA
white tip reef shark,shark,whitetip reef shark,Triaenodon,obesus,NA
white-tip reef shark,shark,whitetip reef shark,Triaenodon,obesus,NA
Leopard Shark,shark,zebra shark,Stegostoma,tigrinum,NA
Leopard shark,shark,zebra shark,Stegostoma,tigrinum,NA
Zebra Shark,shark,zebra shark,Stegostoma,tigrinum,NA
Zebra shark,shark,zebra shark,Stegostoma,tigrinum,NA
leopard shark,shark,zebra shark,Stegostoma,tigrinum,NA
zebra shark,shark,zebra shark,Stegostoma,tigrinum,NA
