species,sighting_date,dive_site,url,title,excerpt,validation,notes,n_observed,dive_site_std,site_type,country,region,species_std,genus,species_epithet,scientific_name,group
whale shark,2018-04-12,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/last-reviews-thank-you,Big bravo to the Smiling Seahorse team... - Diving liveaboard in Thailand and Myanmar,"toujours au top. Ici tout est possible!! "" "" Second cruise with the Smiling Seahorse and our first whale shark! Top team and staff. Here, everything is possible! "" "" Thank you all so much for an amazing wonderf",valid,NA,1,Mergui Archipelago,region,Myanmar,Mergui,whale shark,Rhinocodon,typus,Rhinocodon typus,shark
whale shark,2018-04-12,Similan Islands,https://www.thesmilingseahorse.com/blog/last-trip-of-the-season-may-1st-to-9th-2019,Last trip of the season in Thailand - Diving liveaboard in Thailand and Myanmar,"was absolutely awesome ! Our lucky divers, all pros coming from Koh Tao, had a few luck encounters: Whale Shark, Thorny Seahorse, Juvenile Shaded batfish, ghost pipe fish ... And so much more in only 3 days! Wha",valid,NA,1,Similan Islands,region,Thailand,Similan,whale shark,Rhinocodon,typus,Rhinocodon typus,shark
eagle ray,2015-12-19,Shark Cave,https://www.thesmilingseahorse.com/blog/leopard-sharks-are-dancing-in-burma,"An other 8 days cruise, undiscovered Mergui - Diving liveaboard in Thailand and Myanmar","as good and the diving conditions almost perfect. We had some nice encounters during this trip; one eagle ray in the secret cave, a marbled ray during the safety of a night dive, and specially two leopard shar",valid,NA,1,Shark Cave,site,Myanmar,Mergui,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Blotched Fantail Ray,2015-12-19,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/leopard-sharks-are-dancing-in-burma,"An other 8 days cruise, undiscovered Mergui - Diving liveaboard in Thailand and Myanmar","d and the diving conditions almost perfect. We had some nice encounters during this trip; one eagle ray in the secret cave, a marbled ray during the safety of a night dive, and specially two leopard shar",valid,NA,1,Mergui Archipelago,region,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
leopard shark,2015-12-19,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/leopard-sharks-are-dancing-in-burma,"An other 8 days cruise, undiscovered Mergui - Diving liveaboard in Thailand and Myanmar","ne eagle ray in the secret cave, a marbled ray during the safety of a night dive, and specially two leopard sharks playing together around us for few minutes in front of our cameras. We were lucky to spot a total o",valid,NA,2,Mergui Archipelago,region,Myanmar,Mergui,zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark
Oceanic manta,2025-03-08,Black Rock,https://www.thesmilingseahorse.com/blog/liveaboard-dive-trip-report-mergui-archipelago-march-6-12-2025,"Liveaboard Dive Trip Report: Mergui Archipelago, March 6-12, 2025 - Diving liveaboard in Thailand and Myanmar","delivered one of the most thrilling experiences of the trip, with at least three different oceanic manta rays gracing us with their presence. Schools of rainbow runners, yellowtail barracuda, pickhandle b",valid,NA,3,Black Rock,site,Myanmar,Mergui,oceanic manta,Mobula,birostris,Mobula birostris,ray
Oceanic manta,2025-03-10,Eagle Rock,https://www.thesmilingseahorse.com/blog/liveaboard-dive-trip-report-mergui-archipelago-march-6-12-2025,"Liveaboard Dive Trip Report: Mergui Archipelago, March 6-12, 2025 - Diving liveaboard in Thailand and Myanmar","t, Western Rocky, and Eagle’s Rock brought us a quick but breathtaking visit from a massive oceanic manta, harlequin shrimps, Mc Cosker’s dwarf wrasse, cuttlefish mating, and large schools of fusiliers. Hi",valid,NA,1,Eagle Rock,site,Thailand,Similan,oceanic manta,Mobula,birostris,Mobula birostris,ray
Botched Fantail Ray,2025-03-09,Square Rock,https://www.thesmilingseahorse.com/blog/liveaboard-dive-trip-report-mergui-archipelago-march-6-12-2025,"Liveaboard Dive Trip Report: Mergui Archipelago, March 6-12, 2025 - Diving liveaboard in Thailand and Myanmar","omodoris nudibranchs, a school of yellowtail barracuda, purple flabellina, and a magnificent marble ray. Shark Cave This site amazed us with its massive school of juvenile blue and gold fusiliers, chromo",valid,NA,1,Square Rock,site,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Jenkins Whipray,2025-03-12,Black Rock,https://www.thesmilingseahorse.com/blog/liveaboard-dive-trip-report-mergui-archipelago-march-6-12-2025,"Liveaboard Dive Trip Report: Mergui Archipelago, March 6-12, 2025 - Diving liveaboard in Thailand and Myanmar","ive site, Dendro’s Peak, provided a fitting end to an extraordinary journey. We encountered Jenkins rays, schools of fusiliers, bigeye trevally, rabbitfish, and an incredible variety of reef fish, includi",valid,NA,3,Black Rock,site,Myanmar,Mergui,jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray
Bamboo Shark,2025-03-09,Submarine,https://www.thesmilingseahorse.com/blog/liveaboard-dive-trip-report-mergui-archipelago-march-6-12-2025,"Liveaboard Dive Trip Report: Mergui Archipelago, March 6-12, 2025 - Diving liveaboard in Thailand and Myanmar","eef fish, including blacktip grouper and oriental sweetlips. Submarine Encounters included a bamboo shark sleeping among the rocks, a stonefish, trevallies, rainbow runners, wahoo, a massive school of yell",valid,NA,1,Submarine,site,Myanmar,Mergui,brown banded bamboo shark,Chiloscyllium,punctatum,Chiloscyllium punctatum,shark
Blotched Fantail Ray,2014-12-09,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/macro-heaven,burma is a heaven for macro lovers - Diving liveaboard in Thailand and Myanmar,"ig animal lovers were not forgotten, since the huge but peaceful nurse sharks and impressive blotch stingrays were also at the rendez-vous. Nurse shark taking a nap Not only the Seahorses are smiling in Burma.",valid,NA,4,Mergui Archipelago,region,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
nurse shark,2014-12-09,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/macro-heaven,burma is a heaven for macro lovers - Diving liveaboard in Thailand and Myanmar,"ineapple fish is a rare sight The big animal lovers were not forgotten, since the huge but peaceful nurse sharks and impressive blotch stingrays were also at the rendez-vous. Nurse shark taking a nap Not only the",valid,NA,5,Mergui Archipelago,region,Myanmar,Mergui,nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark
Oceanic Manta,2019-12-12,South Twin,https://www.thesmilingseahorse.com/blog/manta-festival-and-underwater-clean-up,Manta Festival and underwater clean-up - Diving liveaboard in Thailand and Myanmar,l-face puffer fish Seal-face puffer fish We have been so lucky to have great acounters with oceanic Mantas during 3 dives of our first day!! We identify 4 individuals! And even if the wind has been tough wi,valid,NA,4,South Twin,site,Myanmar,Mergui,oceanic manta,Mobula,birostris,Mobula birostris,ray
Jenkins Whiprays,2019-12-12,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/manta-festival-and-underwater-clean-up,Manta Festival and underwater clean-up - Diving liveaboard in Thailand and Myanmar,"anaged to spot great creatures like seahorses, pipefish, frogfish, picachu nudis, big jankins sting rays, cuttlefishes mating and the second whale shark of the season!!! One of the various mantas we spott",valid,NA,6,Mergui Archipelago,region,Myanmar,Mergui,jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray
whale shark,2019-12-12,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/manta-festival-and-underwater-clean-up,Manta Festival and underwater clean-up - Diving liveaboard in Thailand and Myanmar,"rses, pipefish, frogfish, picachu nudis, big jankins sting rays, cuttlefishes mating and the second whale shark of the season!!! One of the various mantas we spotted around South Twin identified as a new member",valid,NA,1,Mergui Archipelago,region,Myanmar,Mergui,whale shark,Rhinocodon,typus,Rhinocodon typus,shark
Oceanic Manta,2013-12-30,Black Rock,https://www.thesmilingseahorse.com/blog/manta-festival-in-black-rock,Manta festival in Black Rock - Diving liveaboard in Thailand and Myanmar,"spots for big and small creatures. Of course when we are lucky like today, surrounded by dozens of Manta rays, its hard to concentrate on the smaller inhabitants… The rock is covered by soft coral, bright",valid,"nan ""surrounded by dozens of Manta rays, """,20,Black Rock,site,Myanmar,Mergui,oceanic manta,Mobula,birostris,Mobula birostris,ray
Oceanic Manta Rays,2017-03-05,Black Rock,https://www.thesmilingseahorse.com/blog/manta-festival-in-black-rock2828386,Manta Festival in Black Rock - Diving liveaboard in Thailand and Myanmar,Comments Another amazing trip in the Mergui Archipelgo where we got the chance to meet some oceanic manta rays ! What an amazing feeling to spend 3 dives in Black Rock with at least 5 different curious spe,valid,NA,5,Black Rock,site,Myanmar,Mergui,oceanic manta,Mobula,birostris,Mobula birostris,ray
Blotched Fantail Ray,2017-03-05,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/manta-festival-in-black-rock2828386,Manta Festival in Black Rock - Diving liveaboard in Thailand and Myanmar,"e. Some turtles, different kind of sharks, nurse, white tip and bamboo, few marbled and bluespotted stingrays were the big animals encountered. We've got also some beautiful macro critters, stone fish, octopus",valid,NA,3,Mergui Archipelago,region,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Nurse Shark,2017-03-05,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/manta-festival-in-black-rock2828386,Manta Festival in Black Rock - Diving liveaboard in Thailand and Myanmar,"cq Plongée, were impressed by the diversity of the underwater life. Some turtles, different kind of sharks, nurse, white tip and bamboo, few marbled and bluespotted stingrays were the big animals encountere",valid,NA,5,Mergui Archipelago,region,Myanmar,Mergui,nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark
White Tip Reef,2017-03-05,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/manta-festival-in-black-rock2828386,Manta Festival in Black Rock - Diving liveaboard in Thailand and Myanmar,"cq Plongée, were impressed by the diversity of the underwater life. Some turtles, different kind of sharks, nurse, white tip and bamboo, few marbled and bluespotted stingrays were the big animals encountere",valid,NA,7,Mergui Archipelago,region,Myanmar,Mergui,whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark
Oceanic manta,2018-01-04,Black Rock,https://www.thesmilingseahorse.com/blog/manta-madness-to-celebrate-the-end-of-2017,Manta Madness to celebrate the end of 2017! - Diving liveaboard in Thailand and Myanmar,", François, Elsa and Gilles from France. Without a doubt, the highlight of this cruise has been the mantas in Black Rock! Three entire dives surrounded by these majestic creatures, so close ... Have a look!",valid,NA,5,Black Rock,site,Myanmar,Mergui,oceanic manta,Mobula,birostris,Mobula birostris,ray
Nurse Shark,2018-01-04,Shark cave,https://www.thesmilingseahorse.com/blog/manta-madness-to-celebrate-the-end-of-2017,Manta Madness to celebrate the end of 2017! - Diving liveaboard in Thailand and Myanmar,"shes everywhere! Fancy portraits ;) And extraordinary patterns ... We could see our favourite nurse shark resting in its cave ... Sponge crabs trying to hide, well done guys! Mantis party in Shark Cave! ​S",valid,NA,1,Shark Cave,site,Myanmar,Mergui,nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark
Oceanic Manta,2018-02-19,Black Rock,https://www.thesmilingseahorse.com/blog/mantas-again,Mantas... again! - Diving liveaboard in Thailand and Myanmar,"aking views of the Mergui Archipelago from above ... Black Rock kept its promises ... it has been a manta festival again! ​Not only mantas, eagle rays also! Our fatty nurse sharks ... Fishes all around ...",valid,NA,8,Black Rock,site,Myanmar,Mergui,oceanic manta,Mobula,birostris,Mobula birostris,ray
eagle ray,2018-02-19,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/mantas-again,Mantas... again! - Diving liveaboard in Thailand and Myanmar,"om above ... Black Rock kept its promises ... it has been a manta festival again! ​Not only mantas, eagle rays also! Our fatty nurse sharks ... Fishes all around ... ​ We have been more than blessed with the bi",valid,NA,3,Mergui Archipelago,region,Myanmar,Mergui,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
nurse shark,2018-02-19,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/mantas-again,Mantas... again! - Diving liveaboard in Thailand and Myanmar,"t its promises ... it has been a manta festival again! ​Not only mantas, eagle rays also! Our fatty nurse sharks ... Fishes all around ... ​ We have been more than blessed with the big ones on this last cruise, b",valid,NA,9,Mergui Archipelago,region,Myanmar,Mergui,nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark
Oceanic manta,2012-12-31,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/mantas-have-arrived,Manta rays in Mergui Archipelago... - Diving liveaboard in Thailand and Myanmar,e Tired of seeing them through your screen? Come join one of our next cruises! Its perfect time for Manta sighting! We saw 4 on the last trip... Check out our schedule Contact us Subscribe for monthly emai,valid,NA,4,Mergui Archipelago,region,Myanmar,Mergui,oceanic manta,Mobula,birostris,Mobula birostris,ray
Oceanic Manta,2019-04-05,Koh Bon,https://www.thesmilingseahorse.com/blog/mantas-in-koh-bon-and-koh-tachai,Mantas in koh bon and koh tachai  - Diving liveaboard in Thailand and Myanmar,Blog about diving in Burma and Thailand Mantas in Koh Bon and Koh Tachai !!! 5/4/2019 0 Comments Manta ​Fantastic encounter with one of our favourite creature during the last trip! We were alone with th,valid,NA,3,Koh Bon,site,Thailand,Similan,oceanic manta,Mobula,birostris,Mobula birostris,ray
Oceanic Manta,2019-04-05,Koh Tachai,https://www.thesmilingseahorse.com/blog/mantas-in-koh-bon-and-koh-tachai,Mantas in koh bon and koh tachai  - Diving liveaboard in Thailand and Myanmar,"t trip! We were alone with them in Koh Bon pinnacle, and then they joined us again in Koh Tachai :) Manta Manta Manta Manta ​Welcome to our group: Kevin and Emilie from France; Victoria and Daniel from Eng",valid,NA,2,Koh Tachai,site,Thailand,Similan,oceanic manta,Mobula,birostris,Mobula birostris,ray
Oceanic Manta,2017-04-09,Thailand (Andaman),https://www.thesmilingseahorse.com/blog/mantas-magic,Mantas' magic... - Diving liveaboard in Thailand and Myanmar,Blog about diving in Burma and Thailand Mantas' magic... 9/4/2017 0 Comments It was our last trip of the season in Thailand ... and it was the mos,valid,NA,9,Andaman Sea,region,Thailand,Andaman (unspecified),oceanic manta,Mobula,birostris,Mobula birostris,ray
Oceanic Manta,2015-03-03,Black Rock,https://www.thesmilingseahorse.com/blog/meet-the-mantas,meet the manta review. myanmar - Diving liveaboard in Thailand and Myanmar,"le to share our experience with you, with our friend liam and dani The dives at black rock with the mantas were spectacular! We adored our adventure under the sea! More reviews in our blog | on tripadvisor",valid,NA,2,Black Rock,site,Myanmar,Mergui,oceanic manta,Mobula,birostris,Mobula birostris,ray
eagle ray,2019-12-29,Western Rocky,https://www.thesmilingseahorse.com/blog/merry-christmas,Merry Christmas! - Diving liveaboard in Thailand and Myanmar,"Rocky where the 30meters visibility amazed everybody!! We had the chance to meet with a magestuous eagle ray, schools of barracudas, African pompanos, another turtle, octopuses etc... And, surprise : 2 bryde",valid,NA,1,Western Rocky,site,Myanmar,Mergui,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Blotched Fantail Ray,2019-12-29,South Twin,https://www.thesmilingseahorse.com/blog/merry-christmas,Merry Christmas! - Diving liveaboard in Thailand and Myanmar,"n for diving! ​During this special 7 days trip, we navigated to South twin where we spotted marbled rays, schools of trevallys, hawkbill turtle and lots of cuttle fishes! ​The next day we travelled to Bla",valid,NA,3,South Twin,site,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
manta,2018-12-26,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/merry-xmas-thank-you-santa-for-being-so-generous,Merry Xmas! Thank you Santa for being so generous ! - Diving liveaboard in Thailand and Myanmar,"Hao from China; Jeff and Jordin from USA, and Phanom from Thailand. ​Starting with the big, we had mantas ... And as if was not enough, we had an amazing surprise during a safety stop, looking below us and",valid,NA,3,Mergui Archipelago,region,Myanmar,Mergui,reef manta,Mobula,alfredii,Mobula alfredii,ray
Blotched Fantail Ray,2018-12-26,Mergui Archipelago,https://www.thesmilingseahorse.com/blog/merry-xmas-thank-you-santa-for-being-so-generous,Merry Xmas! Thank you Santa for being so generous ! - Diving liveaboard in Thailand and Myanmar,"you not fall in love with this baby one! And so many more amazing stuff have been found! ​ Marbled ray ... ​Spearing manti shrimp ... ​Turtle ... Zanzibar shrimp, can you see it? ​Fimbriated moray eel .",valid,NA,1,Mergui Archipelago,region,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Blotched Fantail Ray,2019-11-23,Burma Banks,https://www.thesmilingseahorse.com/blog/new-season-and-still-awesome-diving-in-burma,New season diving in Burma! - Diving liveaboard in Thailand and Myanmar,photo to show unfortunately. Next time... They are fast! What else did we see? large blotched sting rays School of batfish gorgeous coral reef small colorful critters baby seahorses plenty of glass fish a,valid,NA,5,Burma Banks,region,Myanmar,Burma Banks,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Nurse Shark,2019-11-23,Burma Banks,https://www.thesmilingseahorse.com/blog/new-season-and-still-awesome-diving-in-burma,New season diving in Burma! - Diving liveaboard in Thailand and Myanmar,small colorful critters baby seahorses plenty of glass fish and blue water psychedelic puffer fish Rays friendly sharks Did we have fun? Oh yeah!!! What did our guests had to say about their Burma cruise,valid,NA,10,Burma Banks,region,Myanmar,Burma Banks,nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark
Tiger Shark,2019-11-23,Burma Banks,https://www.thesmilingseahorse.com/blog/new-season-and-still-awesome-diving-in-burma,New season diving in Burma! - Diving liveaboard in Thailand and Myanmar,s. We met many gorgeous nurse sharks and one group was even lucky to get a quick hello from a tiger shark! Wow! I don't have any photo to show unfortunately. Next time... They are fast! What else did we se,valid,NA,1,Burma Banks,region,Myanmar,Burma Banks,tiger shark,Galeocerdo,cuvier,Galeocerdo cuvier,shark
Oceanic Manta,2020-01-07,South Twin,https://www.thesmilingseahorse.com/blog/new-year-on-our-liveaboard-in-burma,New year on a liveaboard in Burma - Diving liveaboard in Thailand and Myanmar,"ady to join the MV Smiling Seahorse for a week of diving and celebration. Bring it on 2020! Oceanic Manta Could we possibly wish a better end to 2019 ? On the first day of the cruise around South Twin, we",valid,NA,5,South Twin,site,Myanmar,Mergui,oceanic manta,Mobula,birostris,Mobula birostris,ray
Oceanic Manta,2020-01-07,South Twin,https://www.thesmilingseahorse.com/blog/new-year-on-our-liveaboard-in-burma,New year on a liveaboard in Burma - Diving liveaboard in Thailand and Myanmar,"rst day of the cruise around South Twin, we had the pleasure to dive 3 times with plenty of Oceanic Mantas! On the 2nd day we spotted 8 different Seahorses around Shark Cave, Square Rock and Submarine dive",valid,NA,5,South Twin,site,Myanmar,Mergui,oceanic manta,Mobula,birostris,Mobula birostris,ray
Silvertip Shark,2020-01-07,Burma Banks,https://www.thesmilingseahorse.com/blog/new-year-on-our-liveaboard-in-burma,New year on a liveaboard in Burma - Diving liveaboard in Thailand and Myanmar,"sharks, many sharks and many different sharks. This time we were in awe to observe a Silvertip Reef Shark, swimming into the blue, and plenty of nurse sharks, chilling on the bottom, hiding below a rock, o",valid,NA,1,Burma Banks,region,Myanmar,Burma Banks,silvertip shark,Carcharhinus,albimarginatus,Carcharhinus albimarginatus,shark
Nurse Shark,2020-01-07,Burma Banks,https://www.thesmilingseahorse.com/blog/new-year-on-our-liveaboard-in-burma,New year on a liveaboard in Burma - Diving liveaboard in Thailand and Myanmar,"time we were in awe to observe a Silvertip Reef Shark, swimming into the blue, and plenty of nurse sharks, chilling on the bottom, hiding below a rock, or cruising around. With a 30m visibility and a crist",valid,NA,8,Burma Banks,region,Myanmar,Burma Banks,nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark
Whale Shark,2022-01-14,Koh Tachai,https://www.thesmilingseahorse.com/blog/north-and-south-andaman-liveaboard-january-4th-2022,North and South Andaman Liveaboard : January 4th 2022 - Diving liveaboard in Thailand and Myanmar,"hai the next day, where we had 2 wonderful dives on the pinacle, one in company of a Magestic Whale Shark!!! On the way to Koh Bon , we got lucky to see a pod of pilot whales from the boat! It was so excit",valid,NA,1,Koh Tachai,site,Thailand,Similan,whale shark,Rhinocodon,typus,Rhinocodon typus,shark
Whale Shark,2022-01-14,8 Mile Rock,https://www.thesmilingseahorse.com/blog/north-and-south-andaman-liveaboard-january-4th-2022,North and South Andaman Liveaboard : January 4th 2022 - Diving liveaboard in Thailand and Myanmar,he next day we travelled to Tarutao National park near Koh Lipe where we met a second amazing whale shark which came again and again during the whole dive. ​We just could never get tired of it! Hin Muang w,valid,NA,1,8 Mile Rock,site,Thailand,Koh Lipe,whale shark,Rhinocodon,typus,Rhinocodon typus,shark
Blacktip Reef Shark,2022-01-14,Koh Bida Nok,https://www.thesmilingseahorse.com/blog/north-and-south-andaman-liveaboard-january-4th-2022,North and South Andaman Liveaboard : January 4th 2022 - Diving liveaboard in Thailand and Myanmar,"nice dives at Bida Nok and Shark Point with amazing visibility once again and some curious Blacktip sharks. We caught a glimple of Tigertail seahorses , a perfect way to end our cruise! Thanks again to our",valid,NA,3,Koh Bida Nok,site,Thailand,Phuket,blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark
eagle ray,2022-04-06,Koh Bon,https://www.thesmilingseahorse.com/blog/north-andaman-trip-report-29th-of-march-2022,North Andaman trip report 29th of March 2022 - Diving liveaboard in Thailand and Myanmar,"ut unfortunately, this time none showed up however we had a very nice close encounter with the baby eagle ray and it lasted…! Titan trigger fish in the blue Baby eagle ray at Koh bon As we came back from the l",valid,NA,1,Koh Bon,site,Thailand,Similan,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
devil ray,2025-03-16,8 MIle Rock,https://www.thesmilingseahorse.com/blog/north-to-south-andaman-sea-liveaboard-trip-report-february-9-16-2025,Epic Andaman Sea Liveaboard: Dive Thailand’s Best Sites from North to South (Feb 2025 Trip Report) - Diving liveaboard in Thailand and Myanmar,"ing with action, as giant trevallies hunted glassfish , while a potato grouper and a passing mobula devil ray made for unforgettable moments! (sorry no photo of this one). Koh Lanta National Park – A Blue Marl",valid,NA,1,8 Mile Rock,site,Thailand,Koh Lipe,mobula ray,Mobula,spp,Mobula spp,ray
Blue Spotted Maskray,2025-03-16,Koh Chi,https://www.thesmilingseahorse.com/blog/north-to-south-andaman-sea-liveaboard-trip-report-february-9-16-2025,Epic Andaman Sea Liveaboard: Dive Thailand’s Best Sites from North to South (Feb 2025 Trip Report) - Diving liveaboard in Thailand and Myanmar,"waters and over 30 meters of visibility set the perfect stage for the trip. We spotted blue-spotted stingrays, parrotfish, fusiliers, moray eels, and butterflyfish as we explored the site’s diverse marine life",valid,NA,3,Koh Chi,site,Thailand,Surin,bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray
Bluespot maskray,02/10/2025,Koh Chi,https://www.thesmilingseahorse.com/blog/north-to-south-andaman-sea-liveaboard-trip-report-february-9-16-2025,Epic Andaman Sea Liveaboard: Dive Thailand’s Best Sites from North to South (Feb 2025 Trip Report) - Diving liveaboard in Thailand and Myanmar,"ough deep granite boulders covered in soft and hard corals . Among the highlights were blue-spotted stingrays, coral groupers, snappers, and fusiliers . Next, we explored Elephant Head Rock , a diver’s playgro",valid,NA,3,Koh Chi,site,Thailand,Surin,bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray
Blacktip Reef Sharks,02/15/2025,Bida Nok,https://www.thesmilingseahorse.com/blog/north-to-south-andaman-sea-liveaboard-trip-report-february-9-16-2025,Epic Andaman Sea Liveaboard: Dive Thailand’s Best Sites from North to South (Feb 2025 Trip Report) - Diving liveaboard in Thailand and Myanmar,"ull day of diving started at Bida Nok , where we explored shallow waters teeming with blacktip reef sharks, massive schools of yellow snappers, and a thriving coral reef . For the final dive of the trip, we",valid,NA,7,Koh Bida Nok,site,Thailand,Phuket,blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark
Zebra Shark,02/15/2025,Shark point,https://www.thesmilingseahorse.com/blog/north-to-south-andaman-sea-liveaboard-trip-report-february-9-16-2025,Epic Andaman Sea Liveaboard: Dive Thailand’s Best Sites from North to South (Feb 2025 Trip Report) - Diving liveaboard in Thailand and Myanmar,"od lovers. We encountered bigfin squids, cuttlefish, and a breathtaking moment with a large leopard shark (zebra shark) resting on the sandy bottom. An Unforgettable Adventure in the Andaman Sea. From thri",valid,NA,1,Shark Point,site,Thailand,Phuket,zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark
Spotted Eagle Ray,2016-11-13,Burma Banks,https://www.thesmilingseahorse.com/blog/november-13th-2016,"Wonderful Burma cruise, November 2016 - Diving liveaboard in Thailand and Myanmar","turquoise water and lots of life all around:) What better way to start than seeing not one, but two Eagle rays, one Blacktip shark and a couple of Tiger tail seahorses... Congratulations Lea for your Advanced O",valid,NA,4,Burma Banks,region,Myanmar,Burma Banks,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Oceanic Manta,2025-11-30,Koh Tachai,https://www.thesmilingseahorse.com/blog/our-28-30-november-thailand-cruise,November 2020 Thailand dive cruise - Diving liveaboard in Thailand and Myanmar,"by fish, found gorgeous Nudibranchs and harlequin shrimp and one group even sighted the first Giant Manta ray of the season! Our first Manta of the years! Thailand... The last day of the trip brought big w",valid,NA,1,Koh Tachai,site,Thailand,Similan,oceanic manta,Mobula,birostris,Mobula birostris,ray
eagle ray,2016-03-16,Tower Rock,https://www.thesmilingseahorse.com/blog/our-first-exploration-trip-in-the-north-of-the-archipelago,Our First exploration trip in the North of the Archipelago - Diving liveaboard in Thailand and Myanmar,"r Rock, interesting dive site where we found some nice species, ghost pipefish, stonefish, octopus, eagle ray, blotched stingray, white and black tip sharks. So we will definitely go back up there. I would lik",valid,NA,1,Tower Rock,site,Myanmar,Mergui,ocellated eagle ray�,Aetobatus,ocellatus,Aetobatus ocellatus,ray
Blotched Fantail Ray,2016-03-16,Tower Rock,https://www.thesmilingseahorse.com/blog/our-first-exploration-trip-in-the-north-of-the-archipelago,Our First exploration trip in the North of the Archipelago - Diving liveaboard in Thailand and Myanmar,"dive site where we found some nice species, ghost pipefish, stonefish, octopus, eagle ray, blotched stingray, white and black tip sharks. So we will definitely go back up there. I would like to give a special",valid,NA,1,Tower Rock,site,Myanmar,Mergui,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Blacktip Reef Shark,2016-03-16,Tower Rock,https://www.thesmilingseahorse.com/blog/our-first-exploration-trip-in-the-north-of-the-archipelago,Our First exploration trip in the North of the Archipelago - Diving liveaboard in Thailand and Myanmar,"nice species, ghost pipefish, stonefish, octopus, eagle ray, blotched stingray, white and black tip sharks. So we will definitely go back up there. I would like to give a special thanks to Klab, our captain",valid,NA,3,Tower Rock,site,Myanmar,Mergui,blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark
Whitetip Reef Shark,2016-03-16,Tower Rock,https://www.thesmilingseahorse.com/blog/our-first-exploration-trip-in-the-north-of-the-archipelago,Our First exploration trip in the North of the Archipelago - Diving liveaboard in Thailand and Myanmar,"nice species, ghost pipefish, stonefish, octopus, eagle ray, blotched stingray, white and black tip sharks. So we will definitely go back up there. I would like to give a special thanks to Klab, our captain",valid,NA,3,Tower Rock,site,Myanmar,Mergui,whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark
Blotched Fantail Ray,2017-12-27,Burma Banks,https://www.thesmilingseahorse.com/blog/our-great-christmas-trip,Christmas dive cruise to Burma - Diving liveaboard in Thailand and Myanmar,". and Tobias from Germany. We could admire our first ghostpipe fish of the season, frogfish, marble rays, and all the cool stuff that we are use to see, during our dives. Still a pleasure to admire beauti",valid,NA,3,Burma Banks,region,Myanmar,Burma Banks,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
